DQNModel/eps,DQNModel/loss,DQNModel/td_error,DQNModel/q_values/mean,DQNModel/q_values/max,DQNModel/q_values/min,Evaluation/reward/min,Evaluation/reward/mean,Evaluation/reward/median,reward,Evaluation/reward/max,Evaluation/length/min,Evaluation/length/mean,Evaluation/length/max,replay/Buffer/size,Online/total_steps,Online/episode_completed,Online/episodic_return,Online/episodic_length,epoch,step
0.9499271512031555,0.00016877618327271193,6.950435636099428e-05,-0.064775750041008,-0.008132826536893845,-0.07342779636383057,0,0.0,0.0,0.0,0,2501,2501.0,2501,15000,15000,5,0.2,2501.0,0,9999
0.849791407585144,4.9942213081521913e-05,-3.102136543020606e-05,-0.05394959822297096,0.06998421996831894,-0.0669502466917038,0,0.0,0.0,0.0,0,2501,2501.0,2501,25000,25000,9,0.3333333333333333,2501.0,1,19999
0.749655544757843,0.00011314544826745987,-3.137512976536527e-05,-0.03399406373500824,0.2071467489004135,-0.056690704077482224,2,15.4,17.0,15.4,29,2501,2501.0,2501,35000,35000,13,1.1,2501.0,2,29999
0.6495197415351868,0.0006165393861010671,-0.00010102234227815643,0.03829038515686989,0.576997697353363,-0.03597613051533699,5,16.8,15.5,16.8,31,2501,2501.0,2501,45000,45000,17,1.9,2501.0,3,39999
0.5493839979171753,0.0014520353870466352,-0.0002056205557892099,0.23163408041000366,0.9430433511734009,0.04607927054166794,2,15.6,16.5,15.6,23,2501,2501.0,2501,55000,55000,21,4.5,2501.0,4,49999
0.4492481052875519,0.0015522544272243977,-0.00015834957594051957,0.3942756950855255,1.1351423263549805,0.16544906795024872,9,22.3,21.0,22.3,32,2501,2501.0,2501,65000,65000,25,8.7,2501.0,5,59999
0.34911224246025085,0.0015835462836548686,-0.0001226249005412683,0.5185450315475464,1.232385277748108,0.2726288139820099,7,26.7,28.5,26.7,38,2501,2501.0,2501,75000,75000,29,11.9,2501.0,6,69999
0.24899587035179138,0.001708563999272883,-0.0001375629799440503,0.6270155310630798,1.381422519683838,0.3748880922794342,22,27.7,26.5,27.7,40,2501,2501.0,2501,85000,85000,33,15.0,2501.0,7,79999
0.1489962339401245,0.0019569413270801306,-0.00012933879042975605,0.7407498359680176,1.5314191579818726,0.4762018918991089,3,23.2,23.5,23.2,35,2501,2501.0,2501,95000,95000,37,19.0,2501.0,8,89999
0.10000000894069672,0.0023273031692951918,-0.0001324089098488912,0.8493058681488037,1.6616899967193604,0.5603931546211243,10,27.2,28.5,27.2,33,2501,2501.0,2501,100000,105000,41,24.6,2501.0,9,99999
0.10000000894069672,0.0023760469630360603,-0.00013911149289924651,0.9702734351158142,1.7391716241836548,0.6652738451957703,9,25.8,29.5,25.8,40,2501,2501.0,2501,100000,115000,45,26.1,2501.0,10,109999
0.10000000894069672,0.002336435718461871,-0.00010140664380742237,1.07064950466156,1.794723629951477,0.7592177391052246,1,16.9,16.0,16.9,28,2501,2501.0,2501,100000,125000,49,24.2,2501.0,11,119999
0.10000000894069672,0.0022534308955073357,-9.667772974353284e-05,1.1348118782043457,1.8687328100204468,0.818015992641449,34,37.6,37.5,37.6,42,2501,2501.0,2501,100000,135000,53,27.0,2501.0,12,129999
0.10000000894069672,0.002685735933482647,-9.7200034360867e-05,1.2199527025222778,1.9672009944915771,0.8779122829437256,28,33.6,33.5,33.6,40,2501,2501.0,2501,100000,145000,57,28.9,2501.0,13,139999
0.10000000894069672,0.00278104399330914,-7.605756400153041e-05,1.2748790979385376,2.0262672901153564,0.9192384481430054,13,28.8,31.0,28.8,38,2501,2501.0,2501,100000,155000,61,30.7,2501.0,14,149999
0.10000000894069672,0.003056224435567856,-6.157909956527874e-05,1.3561252355575562,2.0647311210632324,0.9664297103881836,4,21.3,23.0,21.3,29,2501,2501.0,2501,100000,165000,65,28.2,2501.0,15,159999
0.10000000894069672,0.0027359086088836193,-7.08136212779209e-05,1.4265906810760498,2.137774705886841,1.0453224182128906,25,30.1,30.5,30.1,35,2501,2501.0,2501,100000,175000,69,29.2,2501.0,16,169999
0.10000000894069672,0.002741757081821561,-2.4489772840752266e-05,1.4669227600097656,2.1982266902923584,1.0890592336654663,20,32.6,33.5,32.6,43,2501,2501.0,2501,100000,185000,73,28.3,2501.0,17,179999
0.10000000894069672,0.0027926964685320854,7.468157946277643e-06,1.5042848587036133,2.207038164138794,1.1231272220611572,6,14.1,15.0,14.1,20,2501,2501.0,2501,100000,195000,77,28.3,2501.0,18,189999
0.10000000894069672,0.002849662909284234,2.8427601137082092e-05,1.5448294878005981,2.249072551727295,1.1577690839767456,0,16.6,20.5,16.6,33,2501,2501.0,2501,100000,205000,81,27.5,2501.0,19,199999
0.10000000894069672,0.0031794277019798756,3.1589894206263125e-05,1.6191825866699219,2.318091869354248,1.2010983228683472,11,19.7,18.0,19.7,34,2501,2501.0,2501,100000,215000,85,26.2,2501.0,20,209999
0.10000000894069672,0.0029570411425083876,5.956870154477656e-05,1.6471689939498901,2.343822479248047,1.2534959316253662,10,28.0,29.5,28.0,39,2501,2501.0,2501,100000,225000,89,26.0,2501.0,21,219999
0.10000000894069672,0.0026234504766762257,5.997984408168122e-05,1.658859133720398,2.3635387420654297,1.287883996963501,23,28.7,28.5,28.7,36,2501,2501.0,2501,100000,235000,93,24.2,2501.0,22,229999
0.10000000894069672,0.0025444342754781246,5.208085713093169e-05,1.6487501859664917,2.350771903991699,1.293310284614563,7,25.7,28.0,25.7,41,2501,2501.0,2501,100000,245000,97,25.0,2501.0,23,239999
